Timestamp;TimeFormatted;UUID/Namespace;Major/Instance;Minor;TX;RSSI;Distance
1494830589974;2017-05-15 13:43:09;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-92;3.4881575280879513
1494830591155;2017-05-15 13:43:11;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.4290277186438685
1494830591155;2017-05-15 13:43:11;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-98;4.4726493811568915
1494830591156;2017-05-15 13:43:11;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-91;3.4290277186438685
1494830591156;2017-05-15 13:43:11;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-91;3.4584639920608815
1494830592343;2017-05-15 13:43:12;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-93;3.4732784857751406
1494830592343;2017-05-15 13:43:12;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-95;4.513753807673981
1494830592343;2017-05-15 13:43:12;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-89;3.4290277186438685
1494830592344;2017-05-15 13:43:12;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-88;3.382253720455389
1494830594721;2017-05-15 13:43:14;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-92;3.524562516362752
1494830594722;2017-05-15 13:43:14;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-91;3.4290277186438685
1494830594722;2017-05-15 13:43:14;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-88;3.4290277186438685
1494830595870;2017-05-15 13:43:15;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-95;3.548323869215314
1494830595872;2017-05-15 13:43:15;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-97;4.576101611210365
1494830595873;2017-05-15 13:43:15;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-94;3.4290277186438685
1494830595874;2017-05-15 13:43:15;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-91;3.4133634659124708
1494830597077;2017-05-15 13:43:17;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.5084541774744338
1494830597077;2017-05-15 13:43:17;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-92;3.451080878053781
1494830597077;2017-05-15 13:43:17;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-90;3.345539891959576
1494830598302;2017-05-15 13:43:18;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-91;3.449070088228499
1494830598302;2017-05-15 13:43:18;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-91;3.3514337704884625
1494830599451;2017-05-15 13:43:19;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-90;3.476461410090973
